종목명,시가총액
삼성전자,11075643
SK하이닉스,6635259
삼성전자우,1071375
현대차,996147
LG에너지솔루션,830700
SK스퀘어,734404
삼성바이오로직스,705937
한화에어로스페이스,656918
두산에너빌리티,648248
기아,631298
KB금융,539887
HD현대중공업,532153
삼성물산,462336
셀트리온,435295
삼성생명,433000
신한지주,425290
한화오션,367390
현대모비스,343876
미래에셋증권,343186
NAVER,327822
HD현대일렉트릭,326587
삼성전기,319689
고려아연,308502
삼성SDI,303405
하나금융지주,293355
한국전력,293057
한미반도체,286890
POSCO홀딩스,263841
HD한국조선해양,260268
LS ELECTRIC,248100
효성중공업,240667
SK,238534
한화시스템,234827
우리금융지주,232702
삼성중공업,230120
삼성화재,209351
카카오,208322
LG화학,205424
HD현대,189583
HMM,187516
현대로템,184341
기업은행,183807
LG전자,178849
SK이노베이션,178689
메리츠금융지주,177536
두산,173436
KT&G,173162
현대건설,171933
KODEX 200,171183
포스코퓨처엠,166063
한국항공우주,165610
현대글로비스,161250
SK텔레콤,159159
TIGER 미국S&P500,146159
KT,143400
LIG넥스원,140360
포스코인터내셔널,135812
LG,133247
삼성에피스홀딩스,127650
하이브,125112
DB손해보험,121769
에이피알,120925
S-Oil,118550
삼성에스디에스,118079
한국금융지주,117025
NH투자증권,116525
키움증권,112244
카카오뱅크,111867
현대오토에버,109285
크래프톤,108794
대한항공,89478
현대차2우B,86885
삼양식품,86328
LS,85176
이수페타시스,84934
삼성증권,84121
KODEX CD금리액티브(합성),81740
한화,81555
카카오페이,80729
한화솔루션,80360
아모레퍼시픽,79433
TIGER 반도체TOP10,79409
한진칼,78779
KODEX 미국S&P500,78535
TIGER 미국나스닥100,78348
HD현대마린솔루션,76303
KODEX 머니마켓액티브,75174
유한양행,74550
TIGER 200,72181
SK바이오팜,71578
대우건설,71487
삼성E&A,69482
KODEX 코스닥150,69205
LG이노텍,68398
삼성카드,68125
한국타이어앤테크놀로지,67264
LG유플러스,65033
한미약품,64311
HD건설기계,62462
한전기술,61955
